J,"ÊTranslation, ribosomal structure and biogenesis"
A,ÊRNA processing and modification
K,ÊTranscription
L,"ÊReplication, recombination and repair"
B,ÊChromatin structure and dynamics
D,"ÊCell cycle control, cell division, chromosome partitioning"
Y,ÊNuclear structure
V,ÊDefense mechanisms
T,ÊSignal transduction mechanisms
M,ÊCell wall/membrane/envelope biogenesis
N,ÊCell motility
Z,ÊCytoskeleton
W,ÊExtracellular structures
U,"ÊIntracellular trafficking, secretion, and vesicular transport"
O,"ÊPosttranslational modification, protein turnover, chaperones"
C,ÊEnergy production and conversion
G,ÊCarbohydrate transport and metabolism
E,ÊAmino acid transport and metabolism
F,ÊNucleotide transport and metabolism
H,ÊCoenzyme transport and metabolism
I,ÊLipid transport and metabolism
P,ÊInorganic ion transport and metabolism
Q,"ÊSecondary metabolites biosynthesis, transport and catabolism"
R,ÊGeneral function prediction only
S,ÊFunction unknown
