#,Visible?,Starred?,Identified Proteins (2070),Accession,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,clean01,xmas01,xmas02,xmas03,cored01,xmas04,xmas05,clean02,xmas06,xmas07,cored02,clean03,xmas08,clean04,clean05,xmas09,tuft01,xmas10,tuft02,tuft03,clean06,clean07,xmas11,xmas12,tuft04,xmas13,xmas14
1774,TRUE,Empty,Chaperonin GroEL (HSP60 family),H94_4086,,58 kDa,TRUE,unknown,7320300,3403400,653430,6628700,10356000,8864900,22554000,3648300,8993300,5000300,3866200,10335000,1837700,50084000,1870900,23610000,4605200,3041000,3569700,2619900,1234300,1927800,21769000,1284500,3302100,1476000,7179400
363,TRUE,Empty,TCCM_0939.00000010,TCCM_0939.00000010,,?,TRUE,unknown,10441000,3566900,744110,8999100,10998000,9211400,22116000,8415200,8104100,10005000,6400900,4057600,7540500,33417000,5095500,23577000,7400200,5014400,10271000,8943600,1493900,1328200,26136000,4362200,11358000,1171000,8194700
1651,TRUE,Empty,"FoF1-type ATP synthase, beta subunit",bin1_st18_27398,,52 kDa,TRUE,unknown,7745100,1383800,2896500,8532400,5692800,9542600,9981700,3305300,7879900,7600900,3921700,3668400,1903100,9810400,4513300,12612000,3213700,3695800,10875000,7627800,1002600,1382300,15285000,3294400,8966700,2701800,7936100
1860,TRUE,Empty,Arylsulfatase A or related enzyme,bin1_st19_35025,,73 kDa,TRUE,unknown,99211,3646500,0,15515000,163040,10399000,23371000,5246200,11532000,14802000,1036300,0,247120,0,287810,21770000,175730,8336500,19350000,1138200,0,0,22392000,0,26319000,3039700,0
65,TRUE,Empty,bin2_st2_58479,bin2_st2_58479,,21 kDa,TRUE,unknown,57621000,14448000,3723700,16714000,68618000,2380200,45168000,12510000,14784000,20569000,11326000,14088000,138230,51953000,3988900,57405000,4838500,4131300,58147000,26156000,4758100,59117,58716000,36168000,47890000,1081000,35824000
624,TRUE,Empty,TCCM_0495.00000020,TCCM_0495.00000020,,?,,unknown,10633000,1107200,313380,12171000,4690700,17630000,11671000,3148200,12277000,15536000,4138500,1279600,733340,7641700,5713100,9913200,4975900,13974000,10037000,7383400,302350,0,18287000,3284700,12083000,4902000,5591700
845,TRUE,Empty,TCCM_0237.00000020,TCCM_0237.00000020,,?,TRUE,unknown,4381800,9231800,88238,3400900,5853900,4538600,9303800,5052000,3206000,3831000,2336400,6109200,1002700,32369000,2290400,9007200,2582400,2489700,4508700,3670800,2004500,1091200,8928400,1432700,6044200,848970,3814600
447,TRUE,Empty,TCCM_0797.00000210,TCCM_0797.00000210,,?,TRUE,unknown,23150000,1784100,7110700,29373000,32127000,34582000,30836000,2460300,26629000,25673000,12130000,4591300,1556400,18916000,8509000,31782000,4498700,16803000,28083000,21837000,418990,137830,36515000,7353100,34340000,10296000,22807000
958,TRUE,Empty,TCCM_0139.00000040,TCCM_0139.00000040,,?,TRUE,unknown,2487100,90851,698110,1935700,1468900,4122300,2577200,1065900,2071700,3027700,1473700,1006300,0,3307800,1821200,1781900,2623400,1749700,1811000,404620,0,80547,4478400,813170,1462500,3189500,1908300
838,TRUE,Empty,TCCM_0240.00000030,TCCM_0240.00000030,,?,TRUE,unknown,10489000,2233400,1023200,8459800,10124000,6826300,9426100,2107800,8350800,5853300,5414300,3316500,2313400,16107000,6504900,9455400,6687800,4575900,7544400,8743200,1206900,1361300,16017000,3014800,10398000,2669500,7611900
1007,TRUE,Empty,TCCM_0097.00000010,TCCM_0097.00000010,,?,TRUE,unknown,6438600,1796400,966630,7953800,1805800,9818800,6435500,222430,4644300,7087100,1229300,4863800,87992,4615900,1501900,29231000,3966600,3524200,11207000,3207400,608000,0,6943500,1292500,15527000,4730000,7026900
521,TRUE,Empty,TCCM_0662.00000020,TCCM_0662.00000020,,?,TRUE,unknown,12358000,6485900,24188000,7507900,10401000,10215000,15841000,4114600,6247800,5434500,4524500,21802000,1956500,24466000,7476500,17375000,3989500,3653600,8403100,9517300,6380200,1294100,27525000,5864900,15399000,5283900,15681000
520,TRUE,Empty,TCCM_0662.00000030,TCCM_0662.00000030,,?,TRUE,unknown,15784000,1768600,20145000,14769000,13383000,14176000,31372000,1485200,13246000,9314700,5723400,4757500,1307400,39902000,8621200,27680000,5373400,6112000,18362000,10146000,1495700,565100,32634000,5150400,18358000,7139000,20255000
68,TRUE,Empty,bin2_st2_57006,bin2_st2_57006,,17 kDa,TRUE,unknown,9364300,1059300,9988900,17967000,14966000,17517000,14374000,582280,16389000,12762000,6156500,2401200,375530,10186000,5702500,9720000,5607900,10396000,13622000,6993700,497140,317990,26394000,2791800,15873000,2851800,18927000
1393,TRUE,Empty,"Nitrogenase subunit NifH, an ATPase",bin1_st15_19320,,32 kDa,TRUE,unknown,6380900,2438600,334660,4121300,6445800,4944600,8263100,1111800,4132500,3173800,2734100,4036600,847540,29101000,2958500,8413600,4713800,2105000,3549600,2925000,332680,401720,8286900,521630,6509900,1404800,5595100
959,TRUE,Empty,TCCM_0139.00000020,TCCM_0139.00000020,,?,TRUE,unknown,5575500,1017800,1463000,2037400,4086000,4156800,3727400,2337900,2040200,3434300,2472400,1131700,2448100,3376500,2531200,1967400,3357800,3082200,2667500,1714000,0,0,4611800,2565600,2982100,4241300,4862500
