user_genome,noelle_genomeid,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,noelle_placement,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,translation_table,red_value,warnings
ims101-contigs,IMS101,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,GCF_000014265.1,95,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,100,1,GCF_000014265.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,100,1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__;s__,Trichodesmium,ANI/Placement,topological placement and ANI have congruent species assignments,N/A,94.7,11,N/A,N/A
tery-2175-contigs,Tery_2175,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,GCF_000014265.1,95,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,99.2,0.96,GCF_000014265.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,99.2,0.96,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__;s__,Trichodesmium,ANI/Placement,topological placement and ANI have congruent species assignments,N/A,91.03,11,N/A,N/A
webb-8-bin5-1-contigs,bin5_st11,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,GCF_000014265.1,95,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,99.28,0.99,GCF_000014265.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,99.28,0.99,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__;s__,Trichodesmium,ANI/Placement,topological placement and ANI have congruent species assignments,N/A,78.99,11,N/A,N/A
webb-5-bin8-1-contigs,bin8_st5,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,GCF_000014265.1,95,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,97.53,0.92,GCF_000014265.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,97.53,0.92,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__;s__,Trichodesmium,ANI/Placement,topological placement and ANI have congruent species assignments,N/A,82.84,11,N/A,N/A
webb16-bin4-1-contigs,bin4_st16,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,GCF_000014265.1,95,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,97.52,0.89,GCF_000014265.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,97.52,0.89,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__;s__,Trichodesmium,ANI/Placement,topological placement and ANI have congruent species assignments,N/A,86.45,11,N/A,N/A
st19bin2-2-2-2-2-contigs,St19bin2c,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,GCF_000014265.1,95,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,97.71,0.97,GCF_000014265.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,97.71,0.97,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__;s__,Trichodesmium,ANI/Placement,topological placement and ANI have congruent species assignments,N/A,73.99,11,N/A,N/A
webb-1-bin6-1-1-contigs,bin6_st11,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,GCF_000014265.1,95,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,96.8,0.89,GCF_000014265.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,96.8,0.89,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__;s__,Trichodesmium,ANI/Placement,topological placement and ANI have congruent species assignments,N/A,70.62,11,N/A,Genome has more than 11.7% of markers with multiple hits
webb16-bin2-1-contigs,bin2_st16_tuft,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__,N/A,N/A,N/A,N/A,N/A,GCF_000014265.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,87.05,0.91,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__;s__,Trichodesmium,Placement,taxonomic novelty determined using RED,N/A,77.54,11,0.962342053,N/A
webb-19-bin1-2-contigs,bin1_st19,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__,N/A,N/A,N/A,N/A,N/A,GCF_000014265.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,86.78,0.79,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__;s__,Trichodesmium,Placement,taxonomic novelty determined using RED,N/A,91.07,11,0.960321275,N/A
st19bin1-trimmed-contigs,st19bin1_trimmed,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__,N/A,N/A,N/A,N/A,N/A,GCF_000014265.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,86.79,0.82,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__;s__,Trichodesmium,Placement,taxonomic novelty determined using RED,N/A,88.43,11,0.960074025,N/A
h94-contigs,H94,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__,N/A,N/A,N/A,N/A,N/A,GCF_000014265.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium erythraeum,87.26,0.74,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__;s__,Trichodesmium,Placement,taxonomic novelty determined using RED,N/A,93.79,11,0.958624887,N/A
bin12-webb1c-1-contigs,Bin12_st2,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SS1-B-03-39;f__UBA6053;g__UBA6053;s__,N/A,N/A,N/A,N/A,N/A,GCA_002429065.1,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SS1-B-03-39;f__UBA6053;g__UBA6053;s__UBA6053 sp002429065,77.9,0.28,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SS1-B-03-39;f__UBA6053;g__;s__,Kiritimatiella,Placement,taxonomic novelty determined using RED,N/A,88.79,11,0.959669077,N/A
bin11-outputwebb9-contigs,Bin11_st4,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SS1-B-03-39;f__UBA6053;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__;f__;g__;s__,Kiritimatiella,Placement,taxonomic novelty determined using RED,N/A,91.41,11,0.774855692,N/A
bin24-outputwebb5-contigs,Bin24_st5,d__Bacteria;p__Verrucomicrobiota_A;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae;g__Simkania;s__,N/A,N/A,N/A,N/A,N/A,GCF_000237205.1,d__Bacteria;p__Verrucomicrobiota_A;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae;g__Simkania;s__Simkania negevensis,77.85,0.36,d__Bacteria;p__Verrucomicrobiota_A;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae;g__;s__,Chlamydiia,Placement,taxonomic novelty determined using RED,N/A,58.99,11,0.935325104,N/A
bin10-webb1c-1-1-1-contigs,Bin10_st2,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__GCA-002748355;g__;s__,N/A,N/A,N/A,N/A,N/A,GCA_002685965.1,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__GCA-002748355;g__GCA-2685965;s__GCA-2685965 sp002685965,76.71,0.18,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__GCA-002748355;g__;s__,Planctomycetota,Placement,taxonomic novelty determined using RED,N/A,91.31,11,0.828909955,N/A
bin4-outputwebb19-1-contigs,bin4_st18,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Microscilla;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Microscilla;s__,Microscilla,Placement,taxonomic classification fully defined by topology,"GCA_001890965.1, s__Microscilla sp001890965, 95.0, 80.29, 0.59; GCA_003483885.1, s__Microscilla sp003483885, 95.0, 79.57, 0.53; GCF_000169175.1, s__Microscilla marina, 95.0, 77.01, 0.17",93.55,11,0.979492518,N/A
bin9-webb9c-1-contigs,bin9_st14,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA7797;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__;s__,Microscilla,Placement,taxonomic novelty determined using RED,N/A,93.12,11,0.886423975,N/A
bin20-outputwebb3-contigs,bin20_st4,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ahrensia;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ahrensia;s__,Alphaproteobacteria,Placement,taxonomic classification fully defined by topology,"GCA_002706335.1, s__Ahrensia sp002706335, 95.0, 76.38, 0.11; GCA_002698425.1, s__Ahrensia sp002698425, 95.0, 76.16, 0.13",79.5,11,0.935919479,N/A
